,dataset,lambda,mean,std,sem,ci,lower,upper
96,wine,2.0,94.15730337078652,0.4494382022471907,0.1421248386592529,0.28200651409812616,93.8752968566884,94.43930988488465
97,seeds,2.0,89.61904761904762,2.1274578955893944,0.6727612576171174,1.334904291682184,88.28414332736544,90.9539519107298
98,breast_cancer,2.0,93.53251318101933,0.4702667191655431,0.1487113940337874,0.2950756689243281,93.237437512095,93.82758884994365
99,mnist,2.0,60.30000000000001,2.724518306049714,0.8615683373940805,1.7095384999404866,58.590461500059526,62.0095384999405
100,iris,2.1,55.60000000000001,2.800000000000001,0.8854377448471465,1.756900582831328,53.84309941716868,57.35690058283134
101,wine,2.1,93.98876404494382,0.4387780716801464,0.13875380938458867,0.2753176606673054,93.71344638427651,94.26408170561113
102,seeds,2.1,89.04761904761904,2.273778359297774,0.719031850978166,1.426715187385542,87.6209038602335,90.47433423500458
103,breast_cancer,2.1,93.60281195079084,0.3532469462608424,0.1117064926683362,0.22164991634609307,93.38116203444474,93.82446186713693
104,mnist,2.1,59.07000000000001,3.085952041104982,0.9758637199937296,1.9363253355738808,57.133674664426124,61.00632533557389
105,iris,2.2,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
106,wine,2.2,94.15730337078652,0.3726544708264501,0.11784369080563521,0.23382744892488927,93.92347592186164,94.3911308197114
107,seeds,2.2,88.61904761904762,1.9101115352506275,0.6040303036352985,1.198527167698096,87.42052045134952,89.81757478674572
108,breast_cancer,2.2,93.21616871704744,0.5892110584970228,0.18632489674092992,0.36970901860145805,92.84645969844598,93.58587773564889
109,mnist,2.2,60.24499999999999,3.387805336792536,1.0713181133538248,2.1257275609749597,58.11927243902503,62.37072756097495
110,iris,2.3,57.53333333333334,5.781579945539686,1.8282961102257664,3.627736134287353,53.905597199045985,61.16106946762069
111,wine,2.3,94.2134831460674,0.3597260807546551,0.11375537489503722,0.22571534319195807,93.98776780287544,94.43919848925937
112,seeds,2.3,86.47619047619048,1.047619047619045,0.33128623106525795,0.6573437554811072,85.81884672070937,87.13353423167159
113,breast_cancer,2.3,93.21616871704744,0.6490750549251134,0.205255554596225,0.4072715508211455,92.80889716622629,93.62344026786859
114,mnist,2.3,59.23,2.7703068422108057,0.8760479438934837,1.7382691806077777,57.49173081939222,60.96826918060778
115,iris,2.4,55.46666666666667,2.4000000000000012,0.7589466384404114,1.5059147852839956,53.96075188138267,56.97258145195067
116,wine,2.4,94.26966292134831,0.5504471332097047,0.17406666724527772,0.3453860318407012,93.92427688950761,94.61504895318902
117,seeds,2.4,86.33333333333334,1.3809523809523792,0.4366954864042042,0.8664985867705515,85.4668347465628,87.19983192010389
118,breast_cancer,2.4,92.91739894551844,0.5333564465902813,0.16866211759592356,0.3346622328111824,92.58273671270726,93.25206117832963
119,mnist,2.4,60.695000000000014,3.1036631582695953,0.9814644670083578,1.9474384327414178,58.7475615672586,62.64243843274143
120,iris,2.5,57.733333333333334,8.764575162423892,2.7716020236999714,5.499459718261253,52.233873615072085,63.232793051594584
